,Medieval,Renaissance,Baroque,Classical,Early Romantic,Romantic,Late Romantic,20th Century,Post-War,21st Century
Vocal,100.0,73.98042414355628,28.6815415821501,16.610495907558978,44.66105449712007,29.179810725552052,34.48444771001714,22.18268090154211,28.265895953757227,14.15929203539823
Keyboard,0.0,7.911908646003263,30.527383367139958,17.91044776119403,15.595923792645104,27.52365930599369,24.957139358314965,16.459074733096084,12.254335260115607,8.849557522123893
Orchestral,0.0,0.0,18.600405679513184,32.16177178623014,9.74745237040319,27.655099894847528,19.740386970364927,27.63938315539739,26.820809248554912,53.982300884955755
Chamber,0.0,17.94453507340946,17.789046653144016,28.74337987481945,23.260965883916704,8.937960042060988,16.36051922605927,25.948991696322658,26.936416184971097,15.929203539823009
Stage,0.0,0.1631321370309951,4.401622718052739,4.5739046701974,6.7346034559149315,6.703470031545741,4.457506735243693,7.769869513641756,5.722543352601156,7.079646017699115
